,Product_Name,Publisher,Writer,Previous_Price,Discount,Current_Price,Gain,Kind,Page,ISBN,Cover
0,Eğitici Kartlar - Resimli Bulmacalar,Teleskop Popüler Bilim,Kolektif,"25,00",%50 indirim,"12,50","12,50",Zeka Gelişimi Kitapları,1,9786052520130,Ciltsiz
1,Psikoloji Nasıl Çalışır,Alfa Yayınları,Kolektif,"125,00",%35 indirim,"81,25","43,75",Popüler Kültür Kitapları,258,9786051068695,Ciltli
2,Eğitici Kartlar - Çocuklarla 100 Etkinlik,Teleskop Popüler Bilim,Kolektif,"25,00",%50 indirim,"12,50","12,50",Zeka Gelişimi Kitapları,1,9786052520154,Ciltsiz
3,Ejderha Laneti Nasıl Bozulur - Ejderhanı Nasıl Eğitirsin 4,Epsilon Yayınevi,Cressida Cowell,"33,50",%40 indirim,"20,10","13,40",Hikayeler,239,9786051735306,Ciltli
4,Ejderhaca Nasıl Konuşursun - Ejderhanı Nasıl Eğitirsin 3,Epsilon Yayınevi,Cressida Cowell,"33,50",%40 indirim,"20,10","13,40",Hikayeler,236,9786051735313,Ciltli
5,Tüm Eserleri - Oyunlar - Şi̇i̇rler - Mektuplar - Yazılar - Tutanaklar,Epsilon Yayınevi,Sabahattin Ali,"45,00",%40 indirim,"27,00","18,00",Türk Edebiyatı,520,9786051735245,Ciltli
6,Göklerin Ötesi,Artemis Yayınları,Serdar Özkan,"16,00",%35 indirim,"10,40","5,60",Roman,124,9786053044192,Ciltsiz
7,Kuşçubaşı Eşref Sencer,Kariyer Yayınları,Mehmet Kemal Erdoğan,"30,00",%32 indirim,"20,40","9,60",Roman,296,9786059916592,Ciltsiz
8,Süper Bulmaca ve Zeka Oyunları 6,Olimpos Yayınları,Kolektif,"15,00",%30 indirim,"10,50","4,50",Hobi Bilmeceler - Bulmacalar,128,9786059609746,Ciltsiz
9,Adı Yok Gençlik Kitap Edebiyat Dergisi Sayı: 87 - 2019 Kış,Carpe Diem Kitapları - Dergiler,Kolektif,"1,98",%17 indirim,"1,64","0,34",Diğer,44,3990000084796,Ciltsiz
10,Bab-ı Esrar (Midi Boy),Everest Yayınları,Ahmet Ümit,"14,90",%40 indirim,"8,94","5,96",Türk Edebiyatı,520,9786051853345,Ciltsiz
11,Dinler Tarihi Sözlüğü,Yediveren Yayınları,Ahmet Murat Seyrek,"20,00",%31 indirim,"13,80","6,20",Dinler Tarihi Kitapları,184,9786052690536,Ciltsiz
12,İzmler Sözlüğü,Yediveren Yayınları,Ahmet Murat Seyrek,"20,00",%31 indirim,"13,80","6,20",Diğer Tarih Kitapları ,168,9786052690529,Ciltsiz
13,Sudoku 4x4 - Kırmızı Kitap,Teleskop Popüler Bilim,Kolektif,"7,50",%50 indirim,"3,75","3,75","Bilmece, Bulmaca Kitapları",14,9786052520369,Ciltsiz
14,Sudoku 5x5 - Sarı Kitap,Teleskop Popüler Bilim,Kolektif,"7,50",%50 indirim,"3,75","3,75","Bilmece, Bulmaca Kitapları",14,9786052520383,Ciltsiz
15,Sudoku 5x5 - Mavi Kitap,Teleskop Popüler Bilim,Kolektif,"7,50",%50 indirim,"3,75","3,75","Bilmece, Bulmaca Kitapları",14,9786052520376,Ciltsiz
16,Sudoku 4x4 - Yeşil Kitap,Teleskop Popüler Bilim,Kolektif,"7,50",%50 indirim,"3,75","3,75","Bilmece, Bulmaca Kitapları",14,9786052520390,Ciltsiz
17,Eskici ve Oğulları Midi Boy,Everest Yayınları,Orhan Kemal,"14,90",%35 indirim,"9,69","5,22",Türk Edebiyatı,444,9786051853352,Ciltsiz
18,Baki Muhabbet,Yapı Kredi Yayınları,Yücel Demirel,"37,04",%36 indirim,"23,71","13,33",Anı- Mektup - Günlük Kitapları,336,9789750843938,Ciltsiz
19,Şairin Vedası,Yapı Kredi Yayınları,Forrest Gander,"10,19",%36 indirim,"6,52","3,67",Roman,96,9789750843945,Ciltsiz
20,Evimizi Böyle Yaktım,Yapı Kredi Yayınları,Ferdi Çetin,"8,33",%36 indirim,"5,33","3,00",Öykü Kitapları,72,9789750843983,Ciltsiz
21,Vaktin Zulmüne Karşı Yazmak,Yapı Kredi Yayınları,Behçet Necatigil,"29,63",%36 indirim,"18,96","10,67",Derlemeler,312,9789750844027,Ciltsiz
22,Hayhuy,Yapı Kredi Yayınları,Elif Sofya,"18,52",%36 indirim,"11,85","6,67",Şiir Kitapları,96,9789750843990,Ciltsiz
23,Dinozorlar - Tepeden Kuyruğa,Domingo Yayınevi,Stacey Roderick,"18,00",%35 indirim,"11,70","6,30",Okul Öncesi Resimli Kitaplar,36,9786051980744,Ciltsiz
24,Böcekler - Tepeden Kuyruğa,Domingo Yayınevi,Stacey Roderick,"18,00",%35 indirim,"11,70","6,30",Okul Öncesi Resimli Kitaplar,36,9786051980713,Ciltsiz
25,Kuşlar - Tepeden Kuyruğa,Domingo Yayınevi,Stacey Roderick,"18,00",%35 indirim,"11,70","6,30",Okul Öncesi Resimli Kitaplar,36,9786051980720,Ciltsiz
26,Deniz Canlıları - Tepeden Kuyruğa,Domingo Yayınevi,Stacey Roderick,"18,00",%35 indirim,"11,70","6,30",Okul Öncesi Resimli Kitaplar,36,9786051980737,Ciltsiz
27,Gör Beni,Everest Yayınları,Akilah - Azra Kohen,"39,00",%35 indirim,"25,35","13,65",Roman,592,9786051853635,Ciltsiz
28,Hero - The Secret Ciltli,Artemis Yayınları,Rhonda Byrne,"54,00",%35 indirim,"35,10","18,90",Kişisel Gelişim Kitapları,230,9786053043980,Ciltli
29,Fit Tatlılar,Alfa Yayınları,Özge Kaymak,"69,00",%35 indirim,"44,85","24,15",Beslenme ve Diyet Kitapları,288,9786051719108,Ciltsiz
30,Tolstoy - Bütün Eserleri 1,Alfa Yayınları,Lev Nikolayeviç Tolstoy,"34,00",%35 indirim,"22,10","11,90",Rus Edebiyatı,525,9786051718248,Ciltsiz
31,Tolstoy - Bütün Eserleri 2,Alfa Yayınları,Lev Nikolayeviç Tolstoy,"34,00",%35 indirim,"22,10","11,90",Rus Edebiyatı,510,9786051718255,Ciltsiz
32,Od Midi Boy,Kapı Yayınları,İskender Pala,"14,90",%35 indirim,"9,69","5,22",Roman,320,9789752448780,Ciltsiz
33,Araf’ta Çay Çekirdek,Olimpos Yayınları,Mehmet Dalyan,"28,00",%40 indirim,"16,80","11,20",Roman,312,9786057906045,Ciltsiz
34,Hissiz Kumpanya,İthaki Yayınları,Volkan Yalçın,"24,00",%36 indirim,"15,36","8,64",Roman,184,9786053759027,Ciltsiz
35,Kılıçlar Kenti,İthaki Yayınları,Robert Jackson Bennett,"54,00",%36 indirim,"34,56","19,44",Roman,496,9786053759058,Ciltsiz
36,Akademik Yaşam İçin Anahtar Kelimeler,İthaki Yayınları,Kolektif,"19,00",%36 indirim,"12,16","6,84",Denemeler,120,9786053759034,Ciltsiz
37,Şafak Vakti Ciltli,Epsilon Yayınevi,Stephenie Meyer,"54,90",%40 indirim,"32,94","21,96",Roman,576,9786051735092,Ciltli
38,Yazmak Eylemi,Alfa Yayınları,Ferit Edgü,"20,00",%35 indirim,"13,00","7,00",Denemeler,146,9786051719078,Ciltsiz
39,Alacakaranlık Ciltli,Epsilon Yayınevi,Stephenie Meyer,"44,50",%40 indirim,"26,70","17,80",Roman,352,9786051735061,Ciltli
40,Tutulma Ciltli,Epsilon Yayınevi,Stephenie Meyer,"49,50",%40 indirim,"29,70","19,80",Roman,488,9786051735078,Ciltli
41,Yeniay Ciltli,Epsilon Yayınevi,Stephenie Meyer,"44,50",%40 indirim,"26,70","17,80",Roman,392,9786051735085,Ciltli
42,Bizim Sınıf - Matrak Bir Başlangıç,Epsilon Yayınevi,Robin Mellom,"35,00",%40 indirim,"21,00","14,00",Roman-Öykü Kitapları,272,9786051735191,Ciltli
43,Kayıp Tanrıça 3 - Son Savaş,Epsilon Yayınevi,Cansu Muyan,"39,50",%40 indirim,"23,70","15,80",Roman,440,9786051735290,Ciltsiz
44,Karikatürler 3,Nemesis Kitap,Yiğit Özgür,"35,00",%40 indirim,"21,00","14,00",Karikatürler,116,9786052164822,Ciltsiz
45,Karikatürler 2,Nemesis Kitap,Yiğit Özgür,"35,00",%40 indirim,"21,00","14,00",Karikatürler,116,9786052164754,Ciltsiz
46,Boğulmadan Hemen Önce,Nemesis Kitap,James Brydon,"25,50",%40 indirim,"15,30","10,20",Roman,272,9786052164709,Ciltsiz
47,Çizgi Öyküler,Nemesis Kitap,Yiğit Özgür,"35,00",%40 indirim,"21,00","14,00",Karikatürler,104,9786052164761,Ciltsiz
48,Karikatürler,Nemesis Kitap,Yiğit Özgür,"35,00",%40 indirim,"21,00","14,00",Karikatürler,116,9786052164747,Ciltsiz
49,Dracul,Nemesis Kitap,Dacre Stoker,"41,50",%40 indirim,"24,90","16,60",Roman,520,9786052164693,Ciltsiz
50,Snoopy'nin Küçük Kütüphanesi,Artemis Yayınları,Kolektif,"19,00",%35 indirim,"12,35","6,65",Çıkartmalı Kitaplar,34,9786053043386,Ciltsiz
51,Bırak Şu Battaniyeyi Linus!,Artemis Yayınları,Charles M. Schulz,"19,00",%35 indirim,"12,35","6,65",Çıkartmalı Kitaplar,34,9786053043393,Ciltsiz
52,İzci Snoopy ve Yavru Kurtları,Artemis Yayınları,Charles M. Schulz,"19,00",%35 indirim,"12,35","6,65",Çıkartmalı Kitaplar,34,9786053043416,Ciltsiz
53,Mutlu Yıllar Snoopy! - Peanuts,Artemis Yayınları,Charles M. Schulz,"19,00",%35 indirim,"12,35","6,65",Hikayeler,34,9786053043379,Ciltsiz
54,Lucy'den Öneriler - Peanuts,Artemis Yayınları,Charles M. Schulz,"19,00",%35 indirim,"12,35","6,65",Hikayeler,34,9786053043362,Ciltsiz
55,Charlie Brown Okula Başlıyor - Peanuts,Artemis Yayınları,Charles M. Schulz,"19,00",%35 indirim,"12,35","6,65",Hikayeler,34,9786053043409,Ciltsiz
56,Süresi Dolanlar,Alfa Yayınları,Tim Powers,"48,00",%35 indirim,"31,20","16,80",Roman,672,9786051711966,Ciltsiz
57,Beni Sessiz de Sevebilir misin?,Kapı Yayınları,Kemal Sayar,"27,00",%35 indirim,"17,55","9,45",Genel Psikoloji Kitapları,166,9789752448759,Ciltsiz
58,Diş İzleri - Bir Dedektif John Rebus Polisiyesi 3,Alfa Yayınları,Ian Rankin,"29,00",%35 indirim,"18,85","10,15",Roman,326,9786051711942,Ciltsiz
59,Çığlık,Alfa Yayınları,Ferit Edgü,"17,00",%35 indirim,"11,05","5,95",Öykü Kitapları,119,9786051719054,Ciltsiz
60,Tüm Ders Notları,Alfa Yayınları,Ferit Edgü,"31,00",%35 indirim,"20,15","10,85",Diğer Eğitim Kitapları,232,9786051719085,Ciltsiz
61,Buzlar Arasında Bir Kış,Alfa Yayınları,Jules Verne,"13,00",%35 indirim,"8,45","4,55",Roman,111,9786051719146,Ciltsiz
62,Kuyucaklı Yusuf,Everest Yayınları,Sabahattin Ali,"14,00",%35 indirim,"9,10","4,90",Roman,272,9786051853581,Ciltsiz
63,Bir Gemide,Alfa Yayınları,Ferit Edgü,"15,00",%35 indirim,"9,75","5,25",Öykü Kitapları,104,9786051719047,Ciltsiz
64,Şimdi Saat Kaç,Alfa Yayınları,Ferit Edgü,"37,00",%35 indirim,"24,05","12,95",Denemeler,304,9786051719061,Ciltsiz
65,Peanuts Snoopy'nin Çiziktirme Kitabı,Artemis Yayınları,Charles M. Schulz,"19,00",%35 indirim,"12,35","6,65",Hikayeler,64,9786053043317,Ciltsiz
66,Peanuts Takımı Çiziktirme Kitabı,Artemis Yayınları,Charles M. Schulz,"27,00",%35 indirim,"17,55","9,45",Diğer Çocuk Kitapları,128,9786053043355,Ciltsiz
67,Hegel,Alfa Yayınları,Frederick Beiser,"37,00",%35 indirim,"24,05","12,95",Filozof Kitapları,416,9786051719030,Ciltsiz
68,Peanuts Charlie Brown Çiziktirme Kitabı,Artemis Yayınları,Charles M. Schulz,"19,00",%35 indirim,"12,35","6,65",Diğer Çocuk Kitapları,128,9786053043348,Ciltsiz
69,Paramparça,Epsilon Yayınevi,Tina Seskis,"29,50",%40 indirim,"17,70","11,80",Roman,304,9786051735269,Ciltsiz
70,Kedi ve Ölüm,Everest Yayınları,Erhan Bener,"16,00",%35 indirim,"10,40","5,60",Türk Edebiyatı,132,9786051853550,Ciltsiz
71,İstanbul'a,Everest Yayınları,Ömer Erdem,"16,00",%35 indirim,"10,40","5,60",Türk Edebiyatı,112,9786051853499,Ciltsiz
72,Yıldızlar Mektup Yazar,Everest Yayınları,Nazlı Eray,"19,00",%35 indirim,"12,35","6,65",Roman,160,9786051853567,Ciltsiz
73,Türk'ün Göçebe Ruhu,Kapı Yayınları,Erol Göka,"23,00",%35 indirim,"14,95","8,05",Başvuru Kitapları,238,9789752448735,Ciltsiz
74,Asimetri,Domingo Yayınevi,Lisa Halliday,"27,00",%35 indirim,"17,55","9,45",Roman,272,9786051980683,Ciltsiz
75,Mevlid,Kapı Yayınları,Süleyman Çelebi,"26,00",%35 indirim,"16,90","9,10",Türk Edebiyatı,150,9789752448766,Ciltsiz
76,Pofuduk İle Ayışığı,Yapı Kredi Yayınları,Rosalba Troiano,"8,33",%36 indirim,"5,33","3,00",Hikayeler,80,9789750843891,Ciltsiz
77,Beni Öp Sonra Doğur Beni,Yapı Kredi Yayınları,Cemal Süreya,"8,00",%36 indirim,"5,12","2,88",Şiir Kitapları,80,9789750843921,Ciltsiz
78,Ben Leyla Gencer,Yapı Kredi Yayınları Kültür,Evin İlyasoğlu,"125,00",%30 indirim,"87,50","37,50",Sanatçı Kitapları,352,9789750843907,Ciltli
79,Bir Zamanlar Bir Ülkede...,Yapı Kredi Yayınları,Marina Warner,"18,00",%36 indirim,"11,52","6,48",Araştıma-İnceleme Kitapları,176,9789750843815,Ciltsiz
80,Sevgi Neden Önemlidir?,Yapı Kredi Yayınları,Sue Gerhardt,"32,41",%36 indirim,"20,74","11,67",Çocuk Psikolojisi Kitapları,328,9789750843853,Ciltsiz
81,Tahta Topaç ile Bez Bebek,Yapı Kredi Yayınları,Sibel Şengül,"11,11",%36 indirim,"7,11","4,00",Roman-Öykü Kitapları,36,9789750843839,Ciltsiz
82,Kargadalışı Ailesi ve Hapşıran Ev,Yapı Kredi Yayınları,Kari Smeland,"20,37",%36 indirim,"13,04","7,33",Roman-Öykü Kitapları,152,9789750843709,Ciltsiz
83,Sarsıntı,Epsilon Yayınevi,Arda Erel,"29,50",%40 indirim,"17,70","11,80",Roman,248,9786051735276,Ciltsiz
84,Kanlı Bir Kış Gecesi,Epsilon Yayınevi,Marcus Sedgwick,"29,50",%40 indirim,"17,70","11,80",Roman,232,9786051735146,Ciltli
85,lsadora Moon Lunaparka Gidiyor,Epsilon Yayınevi,Harriet Muncaster,"26,00",%40 indirim,"15,60","10,40",Roman-Öykü Kitapları,104,9786051735221,Ciltli
86,Isadora Moon Okula Ejderha Götürüyor,Epsilon Yayınevi,Harriet Muncaster,"26,00",%40 indirim,"15,60","10,40",Hikayeler,112,9786051735238,Ciltli
87,Sherlock Holmes - Sussex Vampiri Macerası,Yediveren Yayınları,Sir Arthur Conan Doyle,"19,00",%31 indirim,"13,11","5,89",Roman,248,9786052690512,Ciltsiz
88,Safiye Sultan,Yediveren Yayınları,M. Turhan Tan,"30,00",%31 indirim,"20,70","9,30",Roman,376,9786052690505,Ciltsiz
89,Müziği Boğan Gürültü,İthaki Yayınları,Güneş Ayas,"43,00",%36 indirim,"27,52","15,48","Genel Kavramlar, Kuram ve Tarihçe Kitapl",352,9786053758983,Ciltsiz
90,Uzay Akımları,İthaki Yayınları,Isaac Asimov,"34,00",%36 indirim,"21,76","12,24",Roman,272,9786053758877,Ciltsiz
91,Gizli Büyü - Cadı Sophie'nin Maceraları 2,Artemis Yayınları,Ellie Boswell,"21,00",%35 indirim,"13,65","7,35",Hikayeler,210,9786053044185,Ciltsiz
92,Dinin Kısa Tarihi,Alfa Yayınları,Richard Hollway,"33,00",%33 indirim,"22,11","10,89",Dinler Tarihi Kitapları,342,9786051719023,Ciltsiz
93,Gülümseyebilmek,Olimpos Yayınları,İbrahim Çoban,"25,00",%30 indirim,"17,50","7,50",Denemeler,176,9786057906038,Ciltsiz
94,Önce Takım Oyunu - Basket Ligi Serisi 1,Epsilon Yayınevi,Luca Cognolato,"27,50",%40 indirim,"16,50","11,00",Roman-Öykü Kitapları,176,9786051734613,Ciltli
95,Maçı Savunma Kazanır - Basket Ligi Serisi 2,Epsilon Yayınevi,Luca Cognolato,"27,50",%40 indirim,"16,50","11,00",Roman-Öykü Kitapları,176,9786051734620,Ciltli
96,Kaybolan Romanlar Yüz Karası - Uçurum - Kenarın Dilberi,Everest Yayınları,Orhan Kemal,"45,00",%35 indirim,"29,25","15,75",Roman,476,9786051853512,Ciltsiz
97,Yörük Ali Efe - İz Bırakanlar,Yediveren Çocuk,Eda Bayrak,"12,00",%31 indirim,"8,28","3,72",Roman-Öykü Kitapları,112,9786059484886,Ciltsiz
98,Akıllı Bir Kadına Rehber,Alfa Yayınları,Bernard Shaw,"52,00",%35 indirim,"33,80","18,20",Genel Sosyoloji Kitapları,624,9786051718576,Ciltsiz
99,İnsan Olmak,Alfa Yayınları,John Gribbin,"37,00",%35 indirim,"24,05","12,95",Popüler Bilim Kitapları,408,9786051719115,Ciltsiz
100,Savaş Işığı,Alfa Yayınları,Michael Ondaatje,"30,00",%35 indirim,"19,50","10,50",Roman,310,9786051719016,Ciltsiz
101,Kant Estetiği ve Romantisizm,Alfa Yayınları,Gamze Keskin,"37,00",%35 indirim,"24,05","12,95",Düşünce Kitapları,400,9786051718903,Ciltsiz
102,Yetim,İletişim Yayınevi,Hatice Meryem,"25,00",%30 indirim,"17,50","7,50",Roman,154,9789750525902,Ciltsiz
103,Anonslu Kaset Doldurulur,İletişim Yayınevi,Engin Barış Kalkan,"23,50",%30 indirim,"16,45","7,05",Roman,140,9789750525919,Ciltsiz
104,Ebeveynlerde Tükenmişlik,İletişim Yayınevi,Moira Mikolajczak,"31,00",%30 indirim,"21,70","9,30",Ebeveyn Kitapları,198,9789750526305,Ciltsiz
105,Faşizmden Popülizme,İletişim Yayınevi,Federico Finchelstein,"43,00",%30 indirim,"30,10","12,90",Politik Akım - Hareket Kitapları,320,9789750525926,Ciltsiz
106,Yapı'dan Sonraki Yol,İletişim Yayınevi,Thomas S. Kuhn,"49,00",%30 indirim,"34,30","14,70",Bilim Tarihi Kitapları,408,9789750525858,Ciltsiz
107,Buz - Hedef Serisi 1,Epsilon Yayınevi,Buse Kudun,"29,50",%40 indirim,"17,70","11,80",Roman,320,9786051735108,Ciltsiz
108,Fütuhu'l-Gayb - Alemlerin Keşfi,Sufi Kitap,Abdülkadir Geylani,"23,50",%35 indirim,"15,28","8,23",Tasavvuf - Mezhep - Tarikat Kitapları,224,9786059778824,Ciltsiz
109,Kısa İkinci Dünya Savaşı Tarihi,Timaş Yayınları,İlkin Başar Özal,"48,50",%40 indirim,"29,10","19,40",Tarih Araştırma - İnceleme Kitapları,624,9786050827248,Ciltsiz
110,İslam-Türk İnançlarında Hızır Yahut Hızır İlyas Kültü,Timaş Yayınları,Ahmet Yaşar Ocak,"55,00",%40 indirim,"33,00","22,00",Tarih Araştırma - İnceleme Kitapları,256,9786050827323,Ciltli
111,Kalbin Simyası,Timaş Yayınları,Hamza Yusuf,"29,50",%40 indirim,"17,70","11,80",Tasavvuf - Mezhep - Tarikat Kitapları,272,9786050829259,Ciltsiz
112,Beyniniz Bir Zaman Makinesi,Timaş Yayınları,Dean Buonomano,"32,50",%40 indirim,"19,50","13,00",Popüler Bilim Kitapları,320,9786050827187,Ciltsiz
113,Örtüde 70 Esma,Timaş Yayınları,Nuriye Çeleğen,"22,50",%40 indirim,"13,50","9,00",Diğer,192,9786050824971,Ciltsiz
114,Madam Bovary,Alfa Yayınları,Gustave Flaubert,"42,00",%35 indirim,"27,30","14,70",Roman,392,9786051069883,Ciltli
115,Oğlum Hz. Muhammed,Timaş Yayınları,Nuriye Çeleğen,"27,50",%40 indirim,"16,50","11,00",Roman,240,9786050825251,Ciltsiz
116,Sosyoloji ve Yöntem - Sosyoloji Seminerleri 2,Alfa Yayınları,Kolektif,"19,00",%35 indirim,"12,35","6,65",Diğer,140,9786051718675,Ciltsiz
117,Vadideki Zambak,Alfa Yayınları,Honore de Balzac,"42,00",%35 indirim,"27,30","14,70",Roman,360,9786051718651,Ciltli
118,Fırtına,Alfa Yayınları,William Shakespeare,"26,00",%35 indirim,"16,90","9,10",Roman,292,9786051716176,Ciltsiz
119,Bir Yazdönümü Gecesi Rüyası,Alfa Yayınları,William Shakespeare,"26,00",%35 indirim,"16,90","9,10",Roman,248,9786051718729,Ciltsiz
120,Soluksuz,Artemis Yayınları,Elizabeth Woods,"21,00",%35 indirim,"13,65","7,35",Roman,172,9786053044093,Ciltsiz
121,Topal Adam - Tuz Üçlemesi 3. Kitap,Artemis Yayınları,Maurice Gee,"21,00",%35 indirim,"13,65","7,35",Roman,194,9786053044154,Ciltsiz
122,Nora Webster,Everest Yayınları,Colm Toibin,"37,00",%35 indirim,"24,05","12,95",Roman,440,9786051853444,Ciltsiz
123,Susan Sontag - Entelektüel Bir İkon,Everest Yayınları,Daniel Schreiber,"37,00",%35 indirim,"24,05","12,95",Biyografi-Otobiyogafi Kitapları,316,9786051853437,Ciltsiz
124,Geçmiş Bir Daha Geri Gelmeyecek Zamanlar Tek Cilt,Everest Yayınları,Selim İleri,"130,00",%35 indirim,"84,50","45,50",Roman,1135,9786051853321,Ciltli
125,Ayaklı Kütüphaneler,Timaş Yayınları,Dursun Gürlek,"37,50",%40 indirim,"22,50","15,00",Roman,384,9786050827286,Ciltsiz
126,Kahve Prensi,Olimpos Yayınları,Sun-mi Lee,"42,00",%30 indirim,"29,40","12,60",Roman,400,9786052063958,Ciltsiz
127,Çıplak ve Ölü,Everest Yayınları,Norman Mailer,"63,00",%35 indirim,"40,95","22,05",Roman,828,9786051853451,Ciltsiz
128,Büyük Sorulara Kısa Yanıtlar,Alfa Yayınları,Stephen Hawking,"24,00",%35 indirim,"15,60","8,40",Popüler Bilim Kitapları,200,9786051719092,Ciltsiz
129,5 Günde 3 Kilo Detoksları,Alfa Yayınları,Umay Villa,"48,00",%35 indirim,"31,20","16,80",Beslenme ve Diyet Kitapları,196,9786051718934,Ciltsiz
130,Açıklamalı Göstergebilim Sözlüğü,Alfa Yayınları,Mehmet Rifat,"52,00",%35 indirim,"33,80","18,20",Dil Bilim Kitapları,380,9786051718637,Ciltli
131,Bir Şansım Olsun,Olimpos Yayınları,Fikret Yıldırım,"35,00",%30 indirim,"24,50","10,50",Roman,448,9786057906021,Ciltsiz
132,Görünmez Adam,Timaş Yayınları,H. G. Wells,"22,50",%40 indirim,"13,50","9,00",Roman,208,9786050827170,Ciltsiz
133,Hayata Rağmen Edebiyat,İthaki Yayınları,Ali Lidar,"31,00",%40 indirim,"18,60","12,40",Roman,184,9786053758976,Ciltsiz
134,Aşıklar Bayramı,İletişim Yayınevi,Kemal Varol,"30,00",%30 indirim,"21,00","9,00",Roman,227,9789750525896,Ciltsiz
135,Yalan Satıcısı,İletişim Yayınevi,Attila Şenkon,"21,00",%30 indirim,"14,70","6,30",Roman,119,9789750525889,Ciltsiz
136,Edebi Üretim Teorisi,İletişim Yayınevi,Pierre Macherey,"44,50",%30 indirim,"31,15","13,35",Eleştiri-İnceleme-Kuram Kitapları,342,9789750525872,Ciltsiz
137,Arkeoloji,İletişim Yayınevi,Kolektif,"32,00",%30 indirim,"22,40","9,60",Derlemeler,205,9789750525865,Ciltsiz
138,Dünyada Van,İletişim Yayınevi,Kolektif,"50,00",%30 indirim,"35,00","15,00",Kent Rehberleri,472,9789750525834,Ciltsiz
139,Metaların Kerameti,İletişim Yayınevi,Melda Yaman,"33,00",%30 indirim,"23,10","9,90",Akademik Kitaplar,230,9789750525827,Ciltsiz
140,Nomisma,Alfa Yayınları,Artuğ ÇETİN,"33,00",%35 indirim,"21,45","11,55",İktisat Kitapları,460,9786051718989,Ciltsiz
141,Çarşı Ressamları - Osmanlı Tasvir Sanatları 2,Yapı Kredi Yayınları Kültür,Metin And,"115,74",%31 indirim,"79,86","35,88",Resim - Heykel Kitapları,248,9789750843792,Ciltli
142,Dünyayı Değiştiren Altı Yıl,Yapı Kredi Yayınları,Helene Carrere D’encausse,"28,00",%36 indirim,"17,92","10,08",Tarih Araştırma - İnceleme Kitapları,256,9789750843860,Ciltsiz
143,Doğum Günü Sürprizi,Yapı Kredi Yayınları,Doğan Gündüz,"12,96",%36 indirim,"8,29","4,67",Roman-Öykü Kitapları,60,9789750843822,Ciltsiz
144,Gül Bağı - Sör Benfro’nun Şarkısı 2,Yapı Kredi Yayınları,J. D. Oswald,"31,48",%36 indirim,"20,15","11,33",Roman-Öykü Kitapları,500,9789750843884,Ciltsiz
145,Erdemi Keşfetmek,İz Yayıncılık,Elif Nur Erkan Balcı,"36,00",%35 indirim,"23,40","12,60",Diğer Felsefe Kitapları ,368,9786053263555,Ciltsiz
146,Yüceliş - İnsanlığın Tekamülü,İz Yayıncılık,Temel Hazıroğlu,"30,00",%35 indirim,"19,50","10,50",Denemeler,296,9786053263593,Ciltsiz
147,Fırtına,Alfa Yayınları,William Shakespeare,"42,00",%35 indirim,"27,30","14,70","Fotoğraf, Sinema, Tiyatro Kitapları",292,9786051718750,Ciltli
148,Germinal,Alfa Yayınları,Emile Zola,"52,00",%35 indirim,"33,80","18,20",Roman,630,9786051718699,Ciltli
149,Kaçak,Nemesis Kitap,Brad Meltzer,"37,00",%40 indirim,"22,20","14,80",Roman,464,9786052164600,Ciltsiz
150,Rüyalardan Düşen Tozlar,Nemesis Kitap,Louis de Bernieres,"45,50",%40 indirim,"27,30","18,20",Roman,648,9786052164624,Ciltsiz
151,İçimizdeki Şeytan,Epsilon Yayınevi,Sabahattin Ali,"14,50",%40 indirim,"8,70","5,80",Türk Edebiyatı,280,9786051735160,Ciltsiz
152,Kürk Mantolu Madonna,Epsilon Yayınevi,Sabahattin Ali,"9,90",%40 indirim,"5,94","3,96",Roman,192,9786051735153,Ciltsiz
153,Kuyucaklı Yusuf,Epsilon Yayınevi,Sabahattin Ali,"12,50",%40 indirim,"7,50","5,00",Roman,240,9786051735177,Ciltsiz
154,Sabahattin Ali Tüm Eserleri - Öyküler,Epsilon Yayınevi,Sabahattin Ali,"45,00",%40 indirim,"27,00","18,00",Öykü Kitapları,496,9786051735214,Ciltli
155,Kopan Ağası'nın Vasiyeti,Epsilon Yayınevi,Istvan Fekete,"18,50",%40 indirim,"11,10","7,40",Roman,208,9786051735139,Ciltsiz
156,Sevginin Son Dileği,Epsilon Yayınevi,Debbie Macomber,"34,90",%40 indirim,"20,94","13,96",Roman,400,9786051735115,Ciltsiz
157,Çiçeklerimi Rüzgara Verdim,Epsilon Yayınevi,Debbie Macomber,"34,90",%40 indirim,"20,94","13,96",Roman,384,9786051735122,Ciltsiz
158,Mahkümlar,Epsilon Yayınevi,Debra Jo Immergut,"19,50",%40 indirim,"11,70","7,80",Roman,240,9786051735023,Ciltsiz
159,Gölgede Yürüyen Kız,Nemesis Kitap,Silvia Moreno - Garcia,"32,50",%40 indirim,"19,50","13,00",Roman,352,9786052164617,Ciltsiz
160,Babamın Vasiyeti - 2,Epsilon Yayınevi,Dilara Gürel,"32,50",%40 indirim,"19,50","13,00",Roman,304,9786051735009,Ciltsiz
161,İçimizdeki Şeytan,Everest Yayınları,Sabahattin Ali,"14,00",%35 indirim,"9,10","4,90",Roman,296,9786051853598,Ciltsiz
162,Lokman Kasidesi,Everest Yayınları,Mehmet Said Aydın,"14,00",%35 indirim,"9,10","4,90",Şiir Kitapları,70,9786051853475,Ciltsiz
